"","roost","loafing","foraging"
"mean",2.45571297750319,14.7416089309401,137.697233134274
"sd",3.02432183101045e-05,13.4875620964123,122.187027197537
"zeromass",0.999996835458224,5.90968739332954e-07,6.6278777740775e-06
