"","1 -> 2","1 -> 3","2 -> 1","2 -> 3","3 -> 1","3 -> 2"
"(Intercept)",1.11517528027596,-31.5127786837425,-52.0119379120848,-2.9068459128259,-10.9935128928542,-1.91251218781666
"WC.Z",0.368780811409493,1.02077893604648,-0.161150073780834,0.172515578629617,-0.631373300939247,-0.452944885490066
"SD.Z",0.488232113187223,0.290947651089384,-0.423472143381826,-0.236989827170413,-1.31334281693733,0.304290661018648
"IDX1521_2020",3.92671980466443,-1.10773134741032,1.15003062802934,1.3993508017363,-2.14040882800191,-4.29988905353201
"IDX1553_2020",-1.35320417531712,-0.589427706113829,1.82353023168741,2.33895463112178,3.25116709583333,-1.19747192039803
"IDX1561_2020",-0.384865880569321,2.09889792519198,-4.54374206450238,0.124573118298178,-2.47543408769309,-1.08624769764691
"IDX1617_2020",1.47250985168287,2.22145311831764,-7.0021637900488,1.68665667122384,-1.24353814760401,-2.16938657859235
"IDX1626_2020",3.93059992652574,-1.65491536906319,-1.74113159314421,0.897947748886047,-2.55572171818173,-0.470426923916523
"IDX251_2019",-4.42082767921285,-0.347243391572665,-1.334983937683,0.0637796453092789,5.64757484714565,0.703750784473065
"IDX280_2018",0.0394665515188826,0.397410725111463,-1.06271443030501,-0.251932961921547,-0.54957832805666,-0.212548757254082
"IDX280_2019",-1.58385632663601,-2.8796428449735,-3.2772116704832,-0.102548975487517,4.76016057148691,-0.634280959490045
"IDX286_2018",1.69253622807379,0.276181309625358,-1.09769293685894,-1.69604256686351,-0.985095600988145,1.31456121091734
"IDX286_2019",-1.78634783642039,-2.73954095214933,0.848446608426869,0.567577899603642,5.11880870019781,0.261310255873965
"IDX355_2018",0.555215961984194,0.345381717344752,-0.953225163488989,-0.0789379968568283,-0.0125880423366111,-0.697249538403157
"IDX361_2018",0.542693072893747,0.49558252811166,-1.18442806655426,0.336747127345846,-0.15135106291708,0.173692654617275
"IDX375_2019",-1.16701142646547,-1.67043059941092,-0.933514023428162,1.19584885899134,4.24779475618261,-0.518611132777483
"IDX387_2019",-0.449014878849698,-3.48449605761073,-0.465062649124434,-0.270514852600508,3.3381074584987,-0.667812870298
"IDX398_2019",0.361739210485298,-0.818219674222026,-1.33077874707024,-0.0419280806277225,4.98233596761537,0.425059627566918
"IDX409_2020",-1.55293637514058,-1.65446923277493,-2.10636794591122,1.74617243338326,3.95246640900572,-0.880533259294997
"IDX410_2020",-1.20576424509089,-2.26025897540422,-0.993088788718923,1.45534738987509,3.64155551794396,-2.68019643485262
"IDX412_2019",0.652756992029292,-1.66199097186595,-2.23812727050986,0.268911479861462,2.53024036294713,-0.661624585933694
"IDX420_2019",0.811952578267078,-8.44151272644334,-1.85510669930424,-0.663077888029892,2.4694082031266,-0.496146034494708
"IDX426_2020",-1.53180226504615,-1.24368684797776,0.906992292741191,1.65797640782026,3.51148748507014,-1.1086468851439
"IDX434_2019",3.29262267655505,-1.43865154557054,1.56916855162326,1.60554546059503,-0.556967670797525,0.562373064540271
"IDX436_2020",-1.00486330171832,-2.79278017917609,-1.23091717049323,0.51167593614781,2.93713357733876,0.0974617063091539
"IDX826_2020",-0.671807210226286,-1.52470001111483,-1.12214792123254,0.638114657199653,3.28784073350856,-1.68538059061787
"IDX840_2020",-0.262979763583015,0.372170052454145,1.22782431919073,0.54404563603642,2.28400342879607,-1.47446238528944
"IDX849_2020",1.00550533035301,1.28097027001702,-1.74211568167015,0.999849659235739,-1.16750914616151,-1.66827029251829
"cosinorCos(hour, period = 24)",-7.70071873453478,-35.4780508033708,55.1053975111616,-1.83954506203866,16.5304013409405,0.610506658282242
"cosinorSin(hour, period = 24)",-12.289628365113,4.18553137751767,0.346265266738972,-2.02074891549857,33.3268305799142,0.426450902454915
