"ID","TP1_2_estimate","TP1_2_lower","TP1_2_upper","TP1_3_estimate","TP1_3_lower","TP1_3_upper","TP2_1_estimate","TP2_1_lower","TP2_1_upper","TP2_3_estimate","TP2_3_lower","TP2_3_upper","TP3_1_estimate","TP3_1_lower","TP3_1_upper","TP3_2_estimate","TP3_2_lower","TP3_2_upper"
"(Intercept)",1.11517528027596,-0.838350175720039,3.06870073627195,-31.5127786837425,-40.2687106385376,-22.7568467289474,-52.0119379120848,-60.820669128436,-43.2032066957337,-2.9068459128259,-3.49795248616925,-2.31573933948255,-10.9935128928542,-15.3289022497811,-6.65812353592736,-1.91251218781666,-2.51683829696203,-1.3081860786713
"WC.Z",0.368780811409493,0.207267613191153,0.530294009627832,1.02077893604648,0.788124985627835,1.25343288646512,-0.161150073780834,-0.385960236221766,0.063660088660099,0.172515578629617,0.0615846805181239,0.283446476741111,-0.631373300939247,-0.872173282804626,-0.390573319073868,-0.452944885490066,-0.583887573814286,-0.322002197165847
"SD.Z",0.488232113187223,0.338143062986268,0.638321163388177,0.290947651089384,0.0673097720252853,0.514585530153484,-0.423472143381826,-0.619944281051736,-0.227000005711915,-0.236989827170413,-0.344689294047786,-0.129290360293039,-1.31334281693733,-1.67564223335056,-0.951043400524105,0.304290661018648,0.185460873129135,0.423120448908162
"IDX1521_2020",3.92671980466443,1.86849222154896,5.9849473877799,-1.10773134741032,-7.45073356872782,5.23527087390717,1.15003062802934,-3.04719886885177,5.34726012491046,1.3993508017363,-0.495652846117118,3.29435444958972,-2.14040882800191,-8.76757332413993,4.48675566813612,-4.29988905353201,-8.01735849218701,-0.582419614877019
"IDX1553_2020",-1.35320417531712,-2.30747370968021,-0.398934640954028,-0.589427706113829,-1.62359810101786,0.444742688790201,1.82353023168741,-1.32733623752346,4.97439670089828,2.33895463112178,1.15181522402133,3.52609403822223,3.25116709583333,0.966500071720964,5.5358341199457,-1.19747192039803,-2.1560352896825,-0.238908551113552
"IDX1561_2020",-0.384865880569321,-1.9868399142599,1.21710815312126,2.09889792519198,0.84494912081407,3.35284672956988,-4.54374206450238,-13.4858618048116,4.39837767580686,0.124573118298178,-0.881699939649565,1.13084617624592,-2.47543408769309,-5.57268572302209,0.621817547635918,-1.08624769764691,-2.31325146642862,0.140756071134805
"IDX1617_2020",1.47250985168287,0.0561809723667615,2.88883873099897,2.22145311831764,0.725387016116354,3.71751922051894,-7.0021637900488,-9.74502034084513,-4.25930723925246,1.68665667122384,0.369041930530573,3.0042714119171,-1.24353814760401,-5.23820781509087,2.75113151988285,-2.16938657859235,-4.10244062981335,-0.236332527371363
"IDX1626_2020",3.93059992652574,1.87165503446308,5.98954481858841,-1.65491536906319,-14.6493690563321,11.3395383182057,-1.74113159314421,-5.19539053382296,1.71312734753454,0.897947748886047,-0.669565015332213,2.46546051310431,-2.55572171818173,-9.75000624340245,4.63856280703899,-0.470426923916523,-2.59114228001486,1.65028843218182
"IDX251_2019",-4.42082767921285,-6.22432644582205,-2.61732891260365,-0.347243391572665,-1.34915262842174,0.654665845276407,-1.334983937683,-2.59949585048476,-0.0704720248812332,0.0637796453092789,-0.580675484871542,0.7082347754901,5.64757484714565,2.92307222987211,8.37207746441918,0.703750784473065,0.0454617035658451,1.36203986538029
"IDX280_2018",0.0394665515188826,-1.14312029846899,1.22205340150675,0.397410725111463,-0.907162197472943,1.70198364769587,-1.06271443030501,-2.76134981598339,0.635920955373361,-0.251932961921547,-1.20373876647131,0.699872842628212,-0.54957832805666,-4.32666019538555,3.22750353927223,-0.212548757254082,-1.14717562358268,0.722078109074517
"IDX280_2019",-1.58385632663601,-2.4818520417412,-0.685860611530826,-2.8796428449735,-4.30222244993361,-1.45706324001339,-3.2772116704832,-4.66577778514234,-1.88864555582407,-0.102548975487517,-0.69747291722562,0.492374966250586,4.76016057148691,2.41081999341485,7.10950114955897,-0.634280959490045,-1.35141339245244,0.0828514734723558
"IDX286_2018",1.69253622807379,0.262119126835149,3.12295332931244,0.276181309625358,-2.30720235187099,2.85956497112171,-1.09769293685894,-2.75012626466962,0.554740390951741,-1.69604256686351,-2.8543373211016,-0.537747812625414,-0.985095600988145,-10.6650345263803,8.69484332440402,1.31456121091734,-0.396815614112143,3.02593803594682
"IDX286_2019",-1.78634783642039,-2.71200853230084,-0.860687140539938,-2.73954095214933,-4.00593709136427,-1.47314481293438,0.848446608426869,-0.690284318287192,2.38717753514093,0.567577899603642,-0.0871796545418515,1.22233545374914,5.11880870019781,2.24309523817689,7.99452216221872,0.261310255873965,-0.465287242554594,0.987907754302523
"IDX355_2018",0.555215961984194,-0.636698596915337,1.74713052088373,0.345381717344752,-1.11661993938976,1.80738337407926,-0.953225163488989,-2.82502021128493,0.918569884306948,-0.0789379968568283,-1.03668580800786,0.878809814294204,-0.0125880423366111,-3.67703124290745,3.65185515823423,-0.697249538403157,-1.86353109386183,0.469032017055513
"IDX361_2018",0.542693072893747,-0.6509968725925,1.73638301837999,0.49558252811166,-0.932591633395288,1.92375668961861,-1.18442806655426,-2.91033165709131,0.541475523982776,0.336747127345846,-0.589655881355302,1.26315013604699,-0.15135106291708,-3.8741220671359,3.57141994130174,0.173692654617275,-0.72740662387116,1.07479193310571
"IDX375_2019",-1.16701142646547,-2.03915626685242,-0.294866586078525,-1.67043059941092,-2.79529324790536,-0.545567950916479,-0.933514023428162,-2.4014638562325,0.534435809376177,1.19584885899134,0.536370838656516,1.85532687932617,4.24779475618261,1.92932478109453,6.56626473127069,-0.518611132777483,-1.24248494174125,0.205262676186284
