"Type","Roosting_Estimate","Roosting_Lower","Roosting_Upper","Stationary_Estimate","Stationary_Lower","Stationary_Upper","Mobile_Estimate","Mobile_Lower","Mobile_Upper"
"mean",2.54235803363237,1.63816186770269,3.44655419956205,11.2485017568902,10.7378382946654,11.7591652191151,133.434076797103,130.716523133772,136.151630460434
"sd",1.15605991682203,-11.8397436311105,14.1518634647545,9.71556670531742,9.16432929488883,10.266804115746,120.134079974856,117.614711457014,122.653448492698
"zeromass",0.999990957790378,0.999930872608364,1.00005104297239,1.75857838057199e-05,-0.000104081048368045,0.000139252615979485,7.5575340057145e-06,-4.21045888919229e-05,5.72196569033519e-05
