"","WC.Z","SD.Z","ID","hour"
"1",-1.59984562668091,0.618740283779162,"X10376_2018",19
"3",-1.59984562668091,0.618740283779162,"X10376_2018",20
"5",-1.59984562668091,0.618740283779162,"X10376_2018",21
"7",-1.59984562668091,0.618740283779162,"X10376_2018",22
"8",-1.59984562668091,0.618740283779162,"X10376_2018",23
"10",-1.59984562668091,0.618740283779162,"X10376_2018",0
"12",-1.59984562668091,0.618740283779162,"X10376_2018",1
"14",-1.59984562668091,0.618740283779162,"X10376_2018",2
"16",-1.59984562668091,0.618740283779162,"X10376_2018",3
"18",-1.59984562668091,0.618740283779162,"X10376_2018",4
"20",-1.73087636752316,0.618740283779162,"X10376_2018",5
"22",-1.73087636752316,0.618740283779162,"X10376_2018",6
"24",-1.73087636752316,0.618740283779162,"X10376_2018",7
"26",-1.73087636752316,0.618740283779162,"X10376_2018",8
"28",-1.73087636752316,0.618740283779162,"X10376_2018",9
"30",-1.73087636752316,0.618740283779162,"X10376_2018",10
"32",-1.73087636752316,0.618740283779162,"X10376_2018",11
"33",-1.73087636752316,0.618740283779162,"X10376_2018",12
"35",-1.73087636752316,0.618740283779162,"X10376_2018",13
"37",-1.73087636752316,0.618740283779162,"X10376_2018",14
"39",-1.73087636752316,0.618740283779162,"X10376_2018",15
"41",-1.73087636752316,0.618740283779162,"X10376_2018",16
"43",-1.73087636752316,0.618740283779162,"X10376_2018",17
"45",-1.73087636752316,0.618740283779162,"X10376_2018",18
"47",-1.73087636752316,0.618740283779162,"X10376_2018",19
"49",-1.73087636752316,0.618740283779162,"X10376_2018",20
"51",-1.73087636752316,0.618740283779162,"X10376_2018",21
"53",-1.73087636752316,0.618740283779162,"X10376_2018",22
"54",-1.73087636752316,0.618740283779162,"X10376_2018",23
"56",-1.73087636752316,0.618740283779162,"X10376_2018",0
"58",-1.73087636752316,0.618740283779162,"X10376_2018",1
"60",-1.73087636752316,0.618740283779162,"X10376_2018",2
"62",-1.73087636752316,0.618740283779162,"X10376_2018",3
"64",-1.73087636752316,0.618740283779162,"X10376_2018",4
"66",0.440437328565428,1.10893106729514,"X10376_2018",5
"68",0.440437328565428,1.10893106729514,"X10376_2018",6
"70",0.440437328565428,1.10893106729514,"X10376_2018",7
"72",0.440437328565428,1.10893106729514,"X10376_2018",8
"74",0.440437328565428,1.10893106729514,"X10376_2018",9
"76",0.440437328565428,1.10893106729514,"X10376_2018",10
"78",0.440437328565428,1.10893106729514,"X10376_2018",11
"79",0.440437328565428,1.10893106729514,"X10376_2018",12
"81",0.440437328565428,1.10893106729514,"X10376_2018",13
"83",0.440437328565428,1.10893106729514,"X10376_2018",14
"85",0.440437328565428,1.10893106729514,"X10376_2018",15
"87",0.440437328565428,1.10893106729514,"X10376_2018",16
"89",0.440437328565428,1.10893106729514,"X10376_2018",17
"91",0.440437328565428,1.10893106729514,"X10376_2018",18
"93",0.440437328565428,1.10893106729514,"X10376_2018",19
"95",0.440437328565428,1.10893106729514,"X10376_2018",20
"97",0.440437328565428,1.21786235252091,"X10376_2018",21
"99",0.440437328565428,1.21786235252091,"X10376_2018",22
"100",0.440437328565428,1.21786235252091,"X10376_2018",23
"102",0.440437328565428,1.21786235252091,"X10376_2018",0
"104",0.440437328565428,1.21786235252091,"X10376_2018",1
"106",0.440437328565428,1.21786235252091,"X10376_2018",2
"108",0.440437328565428,1.21786235252091,"X10376_2018",3
"110",0.440437328565428,1.21786235252091,"X10376_2018",4
"112",-0.406533054669873,0.999999782069363,"X10376_2018",5
"114",-0.406533054669873,0.999999782069363,"X10376_2018",6
"116",-0.406533054669873,0.999999782069363,"X10376_2018",7
"118",-0.406533054669873,0.999999782069363,"X10376_2018",8
"120",-0.406533054669873,0.999999782069363,"X10376_2018",9
"122",-0.406533054669873,0.999999782069363,"X10376_2018",10
"124",-0.406533054669873,0.999999782069363,"X10376_2018",11
"125",-0.406533054669873,0.999999782069363,"X10376_2018",12
"127",-0.406533054669873,0.999999782069363,"X10376_2018",13
"129",-0.406533054669873,0.999999782069363,"X10376_2018",14
"131",-0.406533054669873,0.999999782069363,"X10376_2018",15
"133",-0.406533054669873,0.999999782069363,"X10376_2018",16
"135",-0.406533054669873,0.891068496843592,"X10376_2018",17
"137",-0.406533054669873,0.999999782069363,"X10376_2018",18
"139",-0.406533054669873,0.999999782069363,"X10376_2018",19
"141",-0.406533054669873,0.891068496843592,"X10376_2018",20
"143",-0.406533054669873,0.999999782069363,"X10376_2018",21
"145",-0.406533054669873,0.999999782069363,"X10376_2018",22
"146",-0.406533054669873,0.999999782069363,"X10376_2018",23
"148",-0.406533054669873,0.999999782069363,"X10376_2018",0
"150",-0.406533054669873,0.999999782069363,"X10376_2018",1
"152",-0.406533054669873,0.999999782069363,"X10376_2018",2
"154",-0.406533054669873,0.999999782069363,"X10376_2018",3
"156",-0.406533054669873,0.999999782069363,"X10376_2018",4
"158",-0.882830724229219,0.999999782069363,"X10376_2018",5
"160",-0.882830724229219,0.999999782069363,"X10376_2018",6
"162",-0.882830724229219,0.999999782069363,"X10376_2018",7
"164",-0.882830724229219,0.999999782069363,"X10376_2018",8
"166",-0.882830724229219,0.999999782069363,"X10376_2018",9
"168",-0.882830724229219,0.999999782069363,"X10376_2018",10
"170",-0.882830724229219,0.999999782069363,"X10376_2018",11
"171",-0.882830724229219,0.999999782069363,"X10376_2018",12
"173",-0.882830724229219,0.999999782069363,"X10376_2018",13
"175",-0.882830724229219,0.999999782069363,"X10376_2018",14
"177",-0.882830724229219,0.999999782069363,"X10376_2018",15
"179",-0.882830724229219,0.999999782069363,"X10376_2018",16
"181",-0.882830724229219,0.891068496843592,"X10376_2018",17
"183",-0.882830724229219,0.891068496843592,"X10376_2018",18
"185",-0.882830724229219,0.891068496843592,"X10376_2018",19
"187",-0.882830724229219,0.891068496843592,"X10376_2018",20
"189",-0.882830724229219,0.999999782069363,"X10376_2018",21
"191",-0.882830724229219,0.891068496843592,"X10376_2018",22
"192",-0.882830724229219,0.891068496843592,"X10376_2018",23
"194",-0.882830724229219,0.891068496843592,"X10376_2018",0
"196",-0.882830724229219,0.891068496843592,"X10376_2018",1
"198",-0.882830724229219,0.891068496843592,"X10376_2018",2
"200",-0.882830724229219,0.891068496843592,"X10376_2018",3
"202",-0.882830724229219,0.891068496843592,"X10376_2018",4
"204",-1.06232782035064,1.46295774427889,"X10376_2018",5
"206",-1.06232782035064,1.46295774427889,"X10376_2018",6
"208",-1.06232782035064,1.46295774427889,"X10376_2018",7
