STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/6/2018,12.97,,,,0,,0,31.1,-3,-1,-6,,310,280,,,23,34,,,,,,,1,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/7/2018,8.05,,,,0,,0,31.1,0,11,-9,,310,300,,,21,28,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/8/2018,3.13,,,,0.15,,2.1,31.1,14,22,5,,190,210,,,8.1,10.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/9/2018,7.16,,,,0,,0,33.1,23,37,13,,300,280,,,28,38,1,,,,,,1,1
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/10/2018,4.03,,,,0,,0,31.9,20,34,4,,290,280,,,10.1,15,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/11/2018,9.17,,,,0,,0,31.1,35,44,31,,200,200,,,17,23,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/12/2018,13.2,,,,0.95,,0,25.2,45,51,42,,170,170,,,21.9,31.1,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/13/2018,14.76,,,,1.85,,0,7.9,38,51,13,,320,320,,,25.1,32,1,,,,,1,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/14/2018,9.84,,,,0,,0,0,11,15,4,,320,320,,,17,21,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/15/2018,11.63,,,,0,,0,0,6,14,-1,,10,20,,,18.1,21.9,,,,,,,1,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",1/16/2018,4.03,,,,0,,0,0,15,24,11,,20,20,,,16.1,19,1,,,,,,,
