Roost ~ Basal Area + Wind Chill + BA*WC + BA|IND
"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"BA.Z",1.21936150836527,0.121316584288954,0.980661847584174,1.21910008968881,1.45926302265165,1.21856817741485,3.04210841290658e-05
"WC_prev",-2.10035610539426,1.47274965773026,-4.9920611247403,-2.10031681271865,0.788402831008858,-2.10011219861524,3.825292006442e-07
"StepLength.Z",0.109052601101861,0.0328986607722137,0.0435837614581961,0.109354193784438,0.172787440098925,0.109954751789896,2.94773510190491e-07
"BA.Z:WC_prev",-0.00876066237187849,0.00380060321356708,-0.016266307121889,-0.00874597383776007,-0.00134368291525944,-0.00871643376220858,4.66606678436497e-07
"","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"Precision for ID",6.51812810575709,2.88076878055476,2.59509461713153,5.95748560825784,13.7457489948121,5.00768825636656
Posterior Mean of Variance: 
0.1833963
Posterior Mode of Variance: 
0.1412446

$StratID
$StratID$index.1
                x            y
[44,]   35.6571275 1.551132e-02
[45,]   37.2810730 1.535642e-02
[46,]   38.9180589 1.513965e-02
[47,]   40.5923454 1.485772e-02
[48,]   42.2849312 1.451439e-02
[49,]   44.0473927 1.409924e-02
[50,]   45.8336800 1.362411e-02
[51,]   47.7253011 1.306842e-02
[52,]   49.6851716 1.244423e-02
[53,]   51.7297862 1.175070e-02
[54,]   53.9582751 1.095834e-02
[55,]   56.3391405 1.008540e-02
[56,]   58.9332793 9.122397e-03
[57,]   61.8369891 8.053801e-03
[58,]   65.1991262 6.860039e-03
[59,]   69.2473234 5.526286e-03
[60,]   74.4824319 4.025398e-03
[61,]   82.5084437 2.282093e-03
[62,]   91.8640013 1.039495e-03
[63,]   98.2183273 5.644085e-04
[64,]  109.0153648 1.734635e-04
[65,]  111.3829221 1.307573e-04
[66,]  116.5223023 6.873323e-05
[67,]  127.5125738 1.516463e-05
[68,]  134.5306036 5.243344e-06
[69,]  141.4170837 1.718419e-06
[70,]  153.8927187 1.892217e-07
[71,]  160.0458424 5.837338e-08
[72,]  165.3906753 2.004861e-08
[73,]  185.5610812 2.394116e-10
[74,]  236.5915588 2.015810e-16
[75,]  287.6220363 3.124993e-24

$StratID$index.3
                 x            y
 [1,] -222.4218704 2.928299e-24
 [2,] -171.3932002 1.957016e-16
 [3,] -120.3645299 2.376619e-10
 [4,]  -99.9611481 2.097968e-08
 [5,]  -94.8501948 5.829967e-08
 [6,]  -88.7598217 1.869857e-07
 [7,]  -76.2750377 1.705749e-06
 [8,]  -69.3358597 5.254665e-06
 [9,]  -62.2803034 1.528979e-05
[10,]  -51.3806672 6.849247e-05
[11,]  -46.2696613 1.299278e-04
[12,]  -43.8215245 1.740657e-04
[13,]  -33.1368709 5.600197e-04
[14,]  -26.7570274 1.034881e-03
[15,]  -17.3929365 2.275734e-03
[16,]   -9.3203015 4.028843e-03
[17,]   -4.0511848 5.541584e-03
[18,]   -0.0378704 6.865298e-03
[19,]    3.3049982 8.052667e-03
[20,]    6.2218569 9.126396e-03
[21,]    8.8434988 1.009980e-02
[22,]   11.2017688 1.096445e-02
[23,]   13.3892166 1.174247e-02
[24,]   15.4700462 1.244852e-02
