Bird ID,Year
280,2018
286,2018
355,2018
361,2018
10376,2018
251,2019
280,2019
286,2019
375,2019
387,2019
398,2019
412,2019
420,2019
434,2019
409,2020
410,2020
426,2020
436,2020
826,2020
840,2020
849,2020
1521,2020
1553,2020
1561,2020
1617,2020
1626,2020
