"1 -> 2","1 -> 3","2 -> 1","2 -> 3","3 -> 1","3 -> 2","CI","Type","ID"
-0.997659576523727,-42.9615054637565,-58.8531648551692,-3.49471220623618,-14.2957296908477,-2.46942453319504,"lower","beta","(Intercept)"
0.204920637226333,0.805163043865625,-0.364759597387998,0.0748478718083141,-0.872134103509009,-0.525075161688239,"lower","beta","WC.Z"
0.327400589702095,0.105418296366355,-0.594993343309326,-0.339691327294489,-1.78864406949857,0.15933180744471,"lower","beta","SD.Z"
1.79289629667332,-14.8699391506356,-12.1360381563155,-0.609022962942613,-9.28115209963068,-9.9930898113167,"lower","beta","IDX1521_2020"
-2.11734454522726,-1.90277312408659,-1.08093503465746,1.11810746874844,0.622231616001073,-1.86798162845599,"lower","beta","IDX1553_2020"
-1.57156376748255,0.757435825280655,-7.27227235483536,-0.84271994943248,-5.41370507054171,-2.12269189789492,"lower","beta","IDX1561_2020"
0.0035783721847773,0.733382252675733,-11.7312807184571,0.331186374908616,-6.71251799552255,-4.5111326168261,"lower","beta","IDX1617_2020"
1.80181864049886,-14.3884682509395,-4.96561041426643,-0.737476767486569,-10.1373085282025,-2.89509607176298,"lower","beta","IDX1626_2020"
-6.45377227440183,-1.38944795208206,-2.39959720947552,-0.648595930489143,2.56410462907405,0.0507737097228379,"lower","beta","IDX251_2019"
-1.21379332122294,-0.948495271818095,-2.56792442539556,-1.28997303071233,-5.45559179573596,-1.2352983826082,"lower","beta","IDX280_2018"
-2.54695295151143,-4.22406602232108,-4.44006632173322,-0.773278686397903,2.19091525544149,-1.34635498672145,"lower","beta","IDX280_2019"
0.204154320012442,-2.22945444696297,-2.56402329071739,-2.94177343208899,-10.3817996644024,-0.548304833576099,"lower","beta","IDX286_2018"
-2.76464110609368,-4.00687431386504,-0.513019080346514,-0.145407188829283,1.84581788875949,-0.46362082441196,"lower","beta","IDX286_2019"
-0.677745868795716,-1.09578117631019,-2.62204450813465,-1.14295799019842,-4.81589449859523,-1.9571675639184,"lower","beta","IDX355_2018"
-0.739031552057166,-0.964156572693071,-2.71466553622671,-0.698612804360063,-4.77271796951995,-0.854503099930159,"lower","beta","IDX361_2018"
-2.10119843599617,-2.79320279203831,-2.16858510363637,0.477978241440868,1.7169177947202,-1.27948917192056,"lower","beta","IDX375_2019"
-1.40080749677052,-5.75147540331425,-1.66694807315417,-0.948325300617235,0.714105843321353,-1.41304851081175,"lower","beta","IDX387_2019"
-0.619443113491871,-2.19455451241769,-2.42706014244221,-0.741022288023117,1.72990145861208,-0.265755450260569,"lower","beta","IDX398_2019"
-2.52022414792042,-2.71431152846504,-3.35437327679558,0.996381653858287,1.39846223248374,-1.70097144712982,"lower","beta","IDX409_2020"
-2.39303208803722,-2.72341102322472,-9.76281444106001,0.762831927308235,1.10774123576745,-13.4734449909808,"lower","beta","IDX410_2020"
-0.365191489713057,-4.13234126129014,-3.35242264782117,-0.436065565204227,-0.228630383821954,-1.23642080026768,"lower","beta","IDX412_2019"
-0.216048450184097,-13.0882673497543,-3.02881408063214,-1.37838176301675,-0.482328989217331,-1.31909019500268,"lower","beta","IDX420_2019"
-2.53405413386031,-2.25569096468551,-1.78556284128057,0.824712937026083,1.01589308858088,-2.19865535840603,"lower","beta","IDX426_2020"
0.808358863423138,-14.2428036273323,-8.36653464601317,-0.368047568588846,-10.0443815207238,-1.26214038830664,"lower","beta","IDX434_2019"
-1.9281582033563,-4.0865161955946,-2.35193332082063,-0.164948533822061,0.295857863274943,-0.629701291226366,"lower","beta","IDX436_2020"
-1.49458028853446,-3.40237260189639,-1.12200876722196,0.0681469669242201,-1.03848798746683,-0.815035122377663,"lower","beta","IDX826_2020"
-1.16808636123465,-0.961869247579995,-0.914537844531924,-0.164336044167318,-0.479993828170518,-2.13720995668587,"lower","beta","IDX840_2020"
-0.156872669118829,-0.0849998623069133,-5.85145907119975,0.0291793496763055,-5.31605338289176,-7.82496943048239,"lower","beta","IDX849_2020"
-9.30165708352908,-45.540803851593,45.3871552149785,-2.13413945988795,12.3870590367575,0.476817016597625,"lower","beta","cosinorCos(hour, period = 24)"
-13.7865588550384,0.382983548532126,-1.21789888362424,-2.38639167452696,27.0362966199105,0.0267333895530396,"lower","beta","cosinorSin(hour, period = 24)"
3.06661715238419,-23.8675360299169,-42.6227895444408,-2.27918970707632,-6.33059138002757,-1.29447305510252,"upper","beta","(Intercept)1"
0.526446312994665,1.26362208019362,0.0740053393790991,0.295814740700197,-0.368961940942303,-0.278828541645136,"upper","beta","WC.Z1"
0.627657828894126,0.541377929790692,-0.214344726520583,-0.125115108405092,-1.05997809256901,0.393007599931683,"upper","beta","SD.Z1"
5.92363697590015,13.3159413814933,13.4971018543999,3.35743487541177,5.09155145551343,6.0937798511815,"upper","beta","IDX1521_20201"
-0.23096401783873,0.246337281833108,4.07982917249559,2.90356412908674,4.13666491733638,-0.121474561373379,"upper","beta","IDX1553_20201"
1.37532791357472,3.33064240633916,-0.61548783046938,1.16231410610797,1.20618643991113,0.0113701176129066,"upper","beta","IDX1561_20201"
2.86114694411771,3.7800625710446,2.72043405336484,2.99580228542053,1.66020874544932,0.0756521317870096,"upper","beta","IDX1617_20201"
5.92411173452793,12.097745995395,1.95867445441084,2.44781810221248,6.04491499707832,1.57194460337166,"upper","beta","IDX1626_20201"
-2.67850597134465,0.67142902912769,0.0598888237788586,0.679210574737875,7.00505789136547,1.33372025873714,"upper","beta","IDX251_20191"
1.19473163628282,1.71212892578423,0.802304709309648,0.668403479386628,1.90881526041671,0.618567357938221,"upper","beta","IDX280_20181"
